년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2020-12,23393,5355,12630,5366,3210,4469,2274,1148,20477,4078,3883,5489,3323,5223,7051,6308,21285,134962
2020-11,23052,5210,12570,4999,3162,4415,2249,1127,19903,3810,3794,5157,3269,5055,6753,6137,21261,131923
2020-10,22767,4696,12550,4729,3158,4197,2221,1106,19332,3567,3662,4878,3130,4896,6314,5924,21222,128349
2020-09,22118,4420,12552,4639,3151,4083,2204,1100,18512,3340,3467,4547,2977,4759,5816,5617,21107,124409
2020-08,20997,4320,12468,4204,3046,3338,2142,1076,17197,3091,3319,4252,2906,4576,5400,5003,20699,118034
2020-07,20003,4216,12454,3940,2962,3204,2119,1057,16508,3025,3268,4087,2848,4444,5192,4886,20105,114318
2020-06,19411,4100,12356,3741,2844,3126,2110,1044,15946,2952,3199,3920,2745,4323,4980,4805,19705,111307
2020-05,18098,3936,12160,3402,2745,3001,1774,1030,14876,2839,3077,3701,2561,4215,4818,4568,19388,106189
2020-04,17622,3883,11878,3345,2710,2962,1738,1024,14546,2753,2939,3560,2467,4067,4682,4432,19092,103700
2020-03,17172,3624,11641,3270,2660,2865,1650,1017,14100,2640,2617,3281,2270,3893,4441,4295,18793,100229
2020-02,16438,3270,11275,2791,2489,2625,1464,933,12510,2459,2457,2928,1920,3346,4161,3822,18684,93572
2020-01,15353,3223,11274,2660,2479,2618,1441,911,11809,2448,2427,2848,1872,3326,4071,3634,18307,90701
2019-12,14952,3216,11313,2598,2464,2555,1447,903,11750,2445,2412,2841,1841,3326,4051,3626,18178,89918
2019-11,13726,2953,11016,2516,2389,2429,1398,878,11388,2430,2382,2792,1823,3303,3956,3623,18062,87064
2019-10,12711,2645,9733,2412,2341,2361,1198,867,11035,2385,2271,2649,1804,3278,3832,3592,17933,83047
2019-09,12389,2567,9403,2322,2283,2303,1169,857,10657,2339,2144,2551,1752,3259,3670,3458,17779,80902
2019-08,12050,2489,9053,2210,2213,2224,1123,826,10304,2236,2106,2490,1700,3122,3563,3392,17559,78660
2019-07,11764,2410,8656,2132,2140,2117,1079,811,9877,2114,2074,2421,1641,3077,3409,3258,17352,76332
2019-06,11082,2234,8307,1985,2024,1937,1019,800,9267,1945,1973,2308,1586,2979,3159,3108,17101,72814
2019-05,10613,2085,7964,1842,1870,1781,959,728,8549,1833,1882,2246,1490,2817,2971,3005,16588,69223
